year,month,day,title,file
2017,06,02,The War in June 1967,data_in/articles\2017-06-02_9038.txt
2021,05,05,Palestinians vow to save Sheikh Jarrah neighbourhood,data_in/articles\2021-05-05_9037.txt
2021,05,09,Why American politicians cannot say the words ‘Israeli apartheid’,data_in/articles\2021-05-09_9036.txt
2021,05,10,In Pictures: Israeli forces storm Al-Aqsa compound,data_in/articles\2021-05-10_9035.txt
2021,05,11,"Jerusalem, the unfolding tragedy",data_in/articles\2021-05-11_9031.txt
2021,05,11,Break the fear barrier and speak up for Palestine,data_in/articles\2021-05-11_9032.txt
2021,05,11,In Pictures: Palestinians mourn loved ones as Israel pounds Gaza,data_in/articles\2021-05-11_9033.txt
2021,05,11,"In Pictures: Israel attacks on Gaza kill 24, including children",data_in/articles\2021-05-11_9034.txt
2021,05,12,‘The Skunk’: Another Israeli weapon for collective punishment,data_in/articles\2021-05-12_9029.txt
2021,05,12,In Pictures: Global protests in solidarity with Palestinians,data_in/articles\2021-05-12_9030.txt
2021,05,13,Palestinians in Gaza mourn loved ones killed in Israeli air raids,data_in/articles\2021-05-13_9023.txt
2021,05,13,France asks police to ban pro-Palestinian protest in Paris,data_in/articles\2021-05-13_9024.txt
2021,05,13,Celebrities weigh in on Israel-Palestine conflict,data_in/articles\2021-05-13_9025.txt
2021,05,13,Digital apartheid: Palestinians being silenced on social media,data_in/articles\2021-05-13_9026.txt
2021,05,13,"Jerusalem: ‘She is 12 years old, yet they have shot her’",data_in/articles\2021-05-13_9027.txt
2021,05,13,In Pictures: Ruins and devastation as Israeli attacks pummel Gaza,data_in/articles\2021-05-13_9028.txt
2021,05,14,Lebanese protester killed by Israeli troops at border,data_in/articles\2021-05-14_9017.txt
2021,05,14,Several Palestinians killed by Israeli fire in West Bank protests,data_in/articles\2021-05-14_9018.txt
2021,05,14,"As Israel bombards Gaza, BDS urges renewed economic pressure",data_in/articles\2021-05-14_9019.txt
2021,05,14,Congress members slam US support for Israel,data_in/articles\2021-05-14_9020.txt
2021,05,14,Palestinians in Gaza recount ‘ruthless’ horrors of Israeli raids,data_in/articles\2021-05-14_9021.txt
2021,05,14,In Pictures: Death and destruction in Gaza as Israel attacks,data_in/articles\2021-05-14_9022.txt
2021,05,15,‘Give us 10 minutes’: How Israel bombed a Gaza media tower,data_in/articles\2021-05-15_9007.txt
2021,05,15,"‘It’s genocide’: Protesters slam Israel, support Palestinians",data_in/articles\2021-05-15_9008.txt
2021,05,15,Is a third Intifada on the way?,data_in/articles\2021-05-15_9009.txt
2021,05,15,Israeli forces kill two Palestinians at Nakba Day marches,data_in/articles\2021-05-15_9010.txt
2021,05,15,"For CBC, a dog story is more important than Israel’s apartheid",data_in/articles\2021-05-15_9011.txt
2021,05,15,Al Jazeera strongly condemns Israel’s destruction of Gaza offices,data_in/articles\2021-05-15_9012.txt
2021,05,15,Gaza tower housing Al Jazeera office destroyed by Israeli attack,data_in/articles\2021-05-15_9013.txt
2021,05,15,In Pictures: 11 Palestinians killed in the occupied West Bank,data_in/articles\2021-05-15_9014.txt
2021,05,15,"Israeli hit on Gaza refugee camp kills 10, including 8 children",data_in/articles\2021-05-15_9015.txt
2021,05,15,Israeli air raid flattens Gaza building housing Al Jazeera,data_in/articles\2021-05-15_9016.txt
2021,05,16,Palestinian protests in Israel showcase ‘unprecedented’ unity,data_in/articles\2021-05-16_4685.txt
2021,05,16,Palestinian shot dead after car rams Israeli police in Jerusalem,data_in/articles\2021-05-16_4686.txt
2021,05,16,Iran calls for international action on ‘apartheid’ Israel,data_in/articles\2021-05-16_4687.txt
2021,05,16,Who controls the media message on the Israel-Palestine conflict?,data_in/articles\2021-05-16_4688.txt
2021,05,16,"Israel committing war crimes in Gaza, Palestinian FM tells UN",data_in/articles\2021-05-16_4689.txt
2021,05,16,Timeline: How US presidents have defended Israel over decades,data_in/articles\2021-05-16_4690.txt
2021,05,16,Israel’s doctrine: Humane bombing and benevolent occupation,data_in/articles\2021-05-16_4691.txt
2021,05,16,US: Muslim groups to boycott Biden Eid event over Israel support,data_in/articles\2021-05-16_4692.txt
2021,05,16,Netanyahu says Gaza bombing to continue ‘in full-force’,data_in/articles\2021-05-16_4693.txt
2021,05,16,Palestinian FM slams moves to normalise relations with Israel,data_in/articles\2021-05-16_4694.txt
2021,05,16,US legislator AOC calls Israel an ‘apartheid state’,data_in/articles\2021-05-16_4695.txt
2021,05,16,‘Victims of aggression’: Gaza hospital overwhelmed with wounded,data_in/articles\2021-05-16_4696.txt
2021,05,16,Saudi Arabia condemns Israel for ‘flagrant violations’ in Gaza,data_in/articles\2021-05-16_4697.txt
2021,05,16,Sons of Jerusalem | Close Up,data_in/articles\2021-05-16_4698.txt
2021,05,16,Kashmir police arrest graffiti artist over Palestine mural,data_in/articles\2021-05-16_4699.txt
2021,05,16,How the violence plays into Netanyahu’s hands,data_in/articles\2021-05-16_9000.txt
2021,05,16,Israel destroys home of most senior Hamas leader in Gaza,data_in/articles\2021-05-16_9001.txt
2021,05,16,In Pictures: World rallies in solidarity with Palestinians,data_in/articles\2021-05-16_9002.txt
2021,05,16,Rescuers dig for survivors as Gaza suffers ‘most intense’ bombing,data_in/articles\2021-05-16_9003.txt
2021,05,16,The fallacy of the colonial ‘right to self-defence’,data_in/articles\2021-05-16_9004.txt
2021,05,16,Thousands rally in US in support of Palestinians,data_in/articles\2021-05-16_9005.txt
2021,05,16,Gaza death toll nears 200 amid surge of Israeli raids,data_in/articles\2021-05-16_9006.txt
2021,05,17,Biden expresses support for Gaza ceasefire amid mounting pressure,data_in/articles\2021-05-17_4666.txt
2021,05,17,Qatari Red Crescent’s Gaza office targeted by Israeli air attack,data_in/articles\2021-05-17_4667.txt
2021,05,17,Gaza 2021: An apartheid déjà vu,data_in/articles\2021-05-17_4668.txt
2021,05,17,Is international law respected in the Israel-Palestine conflict?,data_in/articles\2021-05-17_4669.txt
2021,05,17,‘We need food’: Palestinians displaced in Gaza call for supplies,data_in/articles\2021-05-17_4670.txt
2021,05,17,Gaza: Islamic Jihad commander killed in Israeli air strike,data_in/articles\2021-05-17_4671.txt
2021,05,17,Israel yet to show proof of Hamas in Gaza media tower: US,data_in/articles\2021-05-17_4672.txt
2021,05,17,US legislators question $735m arms sale to Israel: Report,data_in/articles\2021-05-17_4673.txt
2021,05,17,Top footballers unite in solidarity with Palestinians,data_in/articles\2021-05-17_4674.txt
2021,05,17,UN court pressed to probe Israel strike on media office,data_in/articles\2021-05-17_4675.txt
2021,05,17,Protests in Lebanon continue in support of Palestine,data_in/articles\2021-05-17_4676.txt
2021,05,17,The disease of settler colonialism and apartheid,data_in/articles\2021-05-17_4677.txt
2021,05,17,Mapping Palestinian solidarity protests around the world,data_in/articles\2021-05-17_4678.txt
2021,05,17,Israel-Palestine: US blocks UN statement for third time in a week,data_in/articles\2021-05-17_4679.txt
2021,05,17,"Qatari, Egyptian, Saudi FMs discuss Gaza crisis with top US envoy",data_in/articles\2021-05-17_4680.txt
2021,05,17,In Pictures: Funerals and destruction as Israeli attacks continue,data_in/articles\2021-05-17_4681.txt
2021,05,17,‘Huge loss’: Experienced Gaza doctors killed in Israeli attacks,data_in/articles\2021-05-17_4682.txt
2021,05,17,Pakistan calls for US role in de-escalating Gaza conflict,data_in/articles\2021-05-17_4683.txt
2021,05,17,"Israel kills Islamic Jihad commander, Gaza death toll above 200",data_in/articles\2021-05-17_4684.txt
2021,05,18,"EU, minus Hungary, calls for Israel-Palestine ceasefire",data_in/articles\2021-05-18_4655.txt
2021,05,18,Gaza: What can be done to stop the unfolding humanitarian crisis?,data_in/articles\2021-05-18_4656.txt
2021,05,18,Israeli forces kill Palestinian protester in occupied West Bank,data_in/articles\2021-05-18_4657.txt
2021,05,18,Mapping Israeli occupation,data_in/articles\2021-05-18_4658.txt
2021,05,18,Israel-Palestine: EU foreign ministers to call for ceasefire,data_in/articles\2021-05-18_4659.txt
2021,05,18,US says Israel provided information on Gaza media tower bombing,data_in/articles\2021-05-18_4660.txt
2021,05,18,"Israel closes Gaza border crossing again, halting aid deliveries",data_in/articles\2021-05-18_4661.txt
2021,05,18,Why is the US unequivocal in its support for Israel?,data_in/articles\2021-05-18_4662.txt
2021,05,18,"In Pictures: In show of unity, Palestinians go on strike",data_in/articles\2021-05-18_4663.txt
2021,05,18,Israel and Benjamin Netanyahu’s war on Palestine,data_in/articles\2021-05-18_4664.txt
2021,05,18,Israel continues Gaza raids as Palestinians hold general strike,data_in/articles\2021-05-18_4665.txt
2021,05,19,US ‘should not be rubber-stamping weapons sales’ to Israel: AOC,data_in/articles\2021-05-19_4641.txt
2021,05,19,What is behind Israel’s targeting of prominent buildings in Gaza?,data_in/articles\2021-05-19_4642.txt
2021,05,19,Survivors of Israeli air attacks in Gaza recount grief and loss,data_in/articles\2021-05-19_4643.txt
