year,month,3-gram,count
2023,11,s editorial stance,41
2024,03,s editorial stance,26
2023,12,s editorial stance,24
2023,10,s editorial stance,23
2021,05,s editorial stance,22
2024,02,s editorial stance,21
2023,11,Threads and YouTube,15
2024,03,in Gaza here,14
2024,04,in Gaza here,13
2024,01,s editorial stance,13
2023,10,Threads and YouTube,13
2024,01,Threads and YouTube,12
2024,04,s editorial stance,11
2023,10,follow along here,9
2021,06,s editorial stance,8
2023,10,is now closed,7
2023,10,Instagram and Facebook,7
2024,02,Threads and YouTube,7
2024,03,Threads and YouTube,7
2023,10,live coverage here,6
2023,12,new page here,6
2023,12,to Al Jazeera,6
2023,12,about 1 200,6
2023,11,latest updates here,5
2024,03,our updates here,5
2023,12,Threads and YouTube,5
2022,09,Bank in 2022,4
2022,12,s editorial stance,4
2024,04,latest updates here,4
2023,11,about 1 200,4
2023,07,s editorial stance,4
2023,10,to Israeli officials,4
2023,06,s editorial stance,4
2023,06,the 1967 War,4
2022,05,on Twitter arwaib,4
2023,11,new page here,4
2022,08,s editorial stance,4
2023,11,to Israeli officials,4
2023,11,to Palestinian officials,4
2024,02,on Gaza here,4
2023,11,to Israeli authorities,3
2023,10,with artificial intelligence,3
2024,02,to Al Jazeera,3
2023,05,in a statement,3
2022,09,s editorial stance,3
2021,07,the international community,3
2022,05,an independent probe,3
2024,02,attacks in Israel,3
2024,03,is now closed,3
2023,10,to Al Jazeera,3
2024,04,Threads and YouTube,3
2023,11,s updates here,3
2023,11,follow along here,3
2023,10,to Palestinian officials,3
2023,12,live page here,3
2023,11,women and children,3
2023,12,latest developments here,3
2024,01,on Gaza here,3
2023,10,ocean of need,3
2021,08,s editorial stance,3
2021,12,s editorial stance,3
2023,11,collaboration with Egab,3
2023,11,is now closed,3
2024,03,to Al Jazeera,3
2023,10,the Palestinian people,3
2023,06,9 and 13,2
2023,10,to breaking point,2
2022,04,its eternal capital,2
2023,01,the international community,2
2023,06,under international law,2
2023,11,posted on X,2
2024,01,pass without punishment,2
2024,04,Ministry of Health,2
2023,11,have been displaced,2
2024,01,in three months,2
2023,01,trial or charge,2
2022,11,in Palestinian attacks,2
2022,01,their future state,2
2022,04,s editorial stance,2
2023,02,Instagram and Facebook,2
2024,01,an entire year,2
2023,11,the war started,2
2024,02,and five civilians,2
2024,01,in a statement,2
2023,05,the same period,2
2023,10,October 10 2023,2
2024,04,April 8 2024,2
2021,05,to Al Jazeera,2
2024,03,since October 7,2
2024,03,to the CPJ,2
2024,03,March 12 2024,2
2023,12,Ministry of Health,2
2023,07,Instagram and Facebook,2
2022,12,Instagram and Facebook,2
2023,10,the Palestinian enclave,2
2024,02,women and children,2
2024,01,is now closed,2
2023,11,for a ceasefire,2
2024,01,he told Al,2
2024,02,February 7 2024,2
2022,08,resistance to it,2
2023,12,latest updates here,2
2023,12,about 1 150,2
2024,01,deaths in Gaza,2
2023,11,the Middle East,2
2021,06,the second time,2
2024,03,March 21 2024,2
2023,10,to Israeli authorities,2
2023,01,of them civilians,2
2024,01,at 1 139,2
2023,11,dead mostly civilians,2
2024,04,April 4 2024,2
2023,11,in the enclave,2
2022,04,besieged Gaza Strip,2
2023,10,Israel Gaza war,2
2022,04,already impoverished territory,2
2023,11,the United Nations,2
2023,10,600 others injured,2
2023,10,October 16 2023,2
2023,11,raids in the,2
2023,11,the Palestinian Authority,2
2023,12,of them civilians,2
2023,01,in Israeli history,2
2023,03,trigger more insecurity,2
2024,01,still held in,2
2023,10,on October 7,2
2022,06,Instagram and Facebook,2
2024,01,since October 7,2
2023,11,live page here,2
2023,12,to Israeli authorities,2
2023,05,Instagram and Facebook,2
2024,01,soon he said,2
2023,12,the Palestinian people,2
2024,02,official Israeli figures,2
2023,11,University of London,2
2023,03,attacks this year,2
2024,02,is now closed,2
2024,01,January 14 2024,2
2023,11,Gaza he said,2
2023,11,aid workers say,2
2024,02,new page here,2
2023,11,of them children,2
2023,11,November 13 2023,2
2023,11,on October 7,2
2024,04,of the war,2
2023,11,nearing breaking point,2
2024,01,with artificial intelligence,2
2021,05,Middle East conflict,2
2023,10,of our lives,2
2024,04,on October 7,2
2023,03,in Palestinian attacks,2
2023,11,Hamas governed enclave,2
2023,10,as beastly people,2
2023,08,the same period,2
2024,02,of international law,2
2023,08,for independent state,2
2024,01,January 25 2024,2
2023,04,s editorial stance,2
2024,01,January 26 2024,2
2023,10,killed in Gaza,2
2024,02,and the region,2
2023,10,unable to leave,2
2023,02,almost a decade,2
2023,10,October 24 2023,2
2024,03,March 8 2024,2
2023,12,under the rubble,2
2023,11,November 7 2023,2
2023,11,to Al Jazeera,2
2022,05,Instagram and Facebook,2
2023,11,at Chatham House,2
2022,05,s editorial stance,2
2024,03,Tonje Hessen Schei,2
2023,11,with artificial intelligence,2
2021,08,resolving the conflict,2
2024,04,expanding the war,2
2023,12,since October 7,2
2023,11,November 27 2023,2
2022,06,the Old City,2
2023,12,December 25 2023,2
2024,01,January 4 2024,2
2023,11,November 25 2023,2
2024,02,buried under rubble,2
2023,07,the same period,2
2023,11,November 24 2023,2
2023,04,attacks on Israelis,2
2023,08,s editorial stance,2
2023,12,about 240 captives,1
2023,12,about he added,1
2023,12,bound for Israel,1
2023,12,and their culture,1
2023,12,brink of starvation,1
2023,12,about 1 100,1
2023,12,broadcaster YTN reported,1
2023,12,can step in,1
2023,12,a terrorist organisation,1
2023,12,a news conference,1
2023,12,causalities being civilians,1
2023,12,ceasefire diplomats said,1
2023,12,a currency swap,1
2023,12,ceasefire is brokered,1
2023,12,carried out raids,1
2023,12,aid he remarked,1
2023,12,across the West,1
2023,12,at the time,1
2023,12,annual military assistance,1
2023,12,and the wounded,1
2023,12,are not afraid,1
2023,12,are seeing now,1
2023,12,are the latest,1
2023,12,and rebuild it,1
2023,12,and four civilians,1
2023,12,around him wept,1
2023,12,artisans wares online,1
2023,12,as British students,1
2023,12,at Utrecht University,1
2023,12,at the border,1
2023,12,and North Africa,1
2023,12,and Mariam Shahin,1
2023,12,and East Jerusalem,1
2023,12,affects US foreign,1
2023,12,and African Studies,1
2023,12,attached as well,1
2023,12,an entire people,1
2023,12,allowed to return,1
2023,12,attacks ever will,1
2023,12,back to Gaza,1
2023,12,beauty he said,1
2023,12,all the same,1
2023,12,aggression he said,1
2023,12,before the ICC,1
2023,12,bin Khalifa University,1
2023,12,agency on Saturday,1
2023,12,against religious intolerance,1
2023,12,against ISIL ISIS,1
2023,12,any of that,1
2017,06,and 20 06,1
2023,12,a backward step,1
2023,12,December 22 2023,1
2023,12,December 12 2023,1
2023,12,December 13 2023,1
2023,12,December 14 2023,1
2023,12,December 15 2023,1
2023,12,December 16 2023,1
2023,12,December 17 2023,1
2023,12,December 18 2023,1
2023,12,December 19 2023,1
2023,12,December 20 2023,1
2023,12,December 21 2023,1
2023,12,December 23 2023,1
2023,12,December 10 1948,1
2023,12,December 24 2023,1
2023,12,December 26 2023,1
2023,12,December 27 2023,1
2023,12,December 28 2023,1
2023,12,December 3 2023,1
2023,12,December 30 2023,1
2023,12,December 4 2023,1
2023,12,December 5 2023,1
2023,12,December 6 2023,1
2023,12,December 7 2023,1
2023,12,December 11 2023,1
2023,12,December 1 2023,1
2023,12,December 9 2023,1
2023,12,48 hours alone,1
2023,11,work for everyone,1
2023,11,working their land,1
2023,11,world said Hamayel,1
2023,11,would be him,1
2023,11,would say no,1
2023,11,you are OK,1
2023,12,000 others wounded,1
2023,12,05 00 GMT,1
2023,12,2022 the report,1
2023,12,3 million people,1
2023,12,50 people injured,1
2023,12,DeafMango December 13,1
2023,12,6 200 women,1
2023,12,Adam were dead,1
2023,12,Admiral Daniel Hagari,1
2023,12,Anti Discrimination Committee,1
2023,12,Asad Zahra 33,1
2023,12,Ashraf Abu Amra,1
2023,12,Bank while reporting,1
2023,12,Belgium and Spain,1
2023,12,David_Cameron December 31,1
2023,12,Dawaymeh he says,1
2023,12,December 8 2023,1
2023,12,Djibouti on Tuesday,1
2023,12,a Hamas official,1
2023,12,Patriarchate of Jerusalem,1
2023,12,Kabalan in Beirut,1
2023,12,Lebanon he said,1
2023,12,NGO told Reuters,1
2023,12,News Director Mondoweiss,1
2023,12,October 7 attacks,1
2023,12,Palestine Arraf said,1
2023,12,Palestine and Israel,1
2023,12,Palestine in Europe,1
2023,12,Palestinian refugees UNRWA,1
2023,12,Palestinians said Isaac,1
2023,12,Power and Knowledge,1
2023,12,Israeli military courts,1
2023,12,Sarah Leah Whitson,1
2023,12,Solidarity Committee harvardpsc,1
2023,12,Strip and Israel,1
2023,12,Strip on Thursday,1
2023,12,Territories 1967 2007,1
2023,12,UN agency estimates,1
2023,12,US he added,1
2023,12,University of Buckingham,1
2023,12,Writer and Journalist,1
2023,12,Zambia previously abstained,1
2023,12,Issa and Sinwar,1
2023,12,Israel to evacuate,1
2023,12,Editor Donald Cameron,1
2023,12,Gaza is heading,1
2023,12,Environment Quality Authority,1
