year,1-gram,count
2023,stance,89
2024,2024,82
2023,2023,78
2024,stance,63
2023,here,56
2024,here,48
2021,stance,33
2023,YouTube,33
2024,YouTube,29
2022,stance,18
2023,Facebook,18
2023,Jazeera,13
2023,children,13
2023,editorial,13
2023,authorities,11
2023,he,10
2023,state,10
2023,closed,10
2023,200,10
2023,period,9
2023,added,9
2023,intelligence,9
2023,law,9
2023,7,8
2024,7,8
2023,war,8
2023,attacks,8
2024,closed,8
2022,Facebook,8
2024,editorial,8
2023,history,7
2024,Jazeera,7
2023,stop,7
2023,statement,7
2023,War,7
2023,conflict,7
2023,East,7
2024,139,7
2023,future,7
2023,again,6
2023,place,6
2023,them,6
2023,there,6
2023,die,6
2023,Palestine,6
2023,crisis,5
2022,state,5
2023,point,5
2023,this,5
2023,officials,5
2023,enclave,5
2023,injured,5
2021,editorial,5
2023,Nobani,5
2023,Egab,5
2023,day,5
2023,region,5
2022,2022,5
2024,famine,5
2023,rubble,5
2023,Gaza,5
2023,report,5
2024,soon,5
2023,13,4
2024,punishment,4
2021,community,4
2024,Palestinians,4
2023,happen,4
2022,territory,4
2024,Health,4
2023,identity,4
2023,now,4
2024,rubble,4
2023,humanity,4
2023,homes,4
2024,says,4
2023,life,4
2023,against,4
2023,organisation,4
2022,people,4
2023,take,4
2023,situation,4
2023,crimes,4
2024,future,4
2023,dead,4
2023,say,4
2022,arwaib,4
2023,community,4
2023,displaced,4
2023,comment,4
2023,civilians,4
2024,law,4
2023,charge,4
2023,peace,4
2023,live,4
2024,civilians,4
2023,soldiers,4
2023,southern,4
2022,it,4
2024,authorities,4
2022,out,4
2023,towards,4
2023,being,4
2024,added,4
2023,no,4
2023,Health,4
2023,about,4
2023,Saturday,4
2023,million,4
2023,ministry,4
2024,4,4
2023,us,4
2023,University,4
2023,past,3
2023,facilities,3
2024,States,3
2022,killing,3
2024,months,3
2023,calls,3
2023,can,3
2024,camp,3
2023,solution,3
2021,she,3
2023,end,3
2023,ceasefire,3
2024,clarity,3
2023,Nations,3
2023,other,3
2023,wounded,3
2023,it,3
2023,week,3
2024,attacks,3
2023,potential,3
2023,attack,3
2023,besieged,3
2024,population,3
2023,free,3
2023,people,3
2023,land,3
2024,women,3
2023,months,3
2024,territory,3
2023,suffering,3
2023,before,3
2024,against,3
2023,began,3
2023,genocide,3
2021,again,3
2023,month,3
2023,fire,3
2023,raids,3
2023,fighting,3
2023,account,3
2023,Humaid,3
2023,Beirut,3
2022,Jazeera,3
2022,City,3
2023,long,3
2023,defence,3
2024,he,3
2023,lives,3
2023,decade,3
2024,had,3
2024,group,3
2023,killed,3
2023,you,3
2023,days,3
2023,years,3
2024,expanding,3
2023,ruins,3
2023,return,3
2023,crime,3
2023,crossing,3
2021,Jazeera,3
2023,reported,3
2023,GMT,3
2024,comment,3
2024,death,3
2024,conflict,3
2023,Egypt,3
2023,close,3
2021,us,3
2023,she,3
2023,come,3
2023,Strip,3
2024,day,3
2023,House,3
2024,down,3
2024,deaths,3
2023,refuge,3
2023,dire,3
2023,died,3
2024,diplomacy,3
2023,conference,3
2023,detained,3
2022,attacks,3
2023,any,3
2023,bombardment,3
2023,graveyard,3
2024,DC,3
2023,inside,3
2024,reporters,3
2022,trial,3
2023,Peace,3
2023,all,3
2023,office,3
2023,ocean,3
2023,world,3
2021,bias,3
2024,security,3
2023,11,3
2024,side,3
2024,region,3
2023,1948,3
2023,20,3
2023,2006,3
2023,400,3
2023,needs,3
2023,Journalists,3
2023,Jerusalem,3
2023,4,3
2023,across,3
2023,new,3
2024,February,3
2024,talks,3
2023,many,3
2023,Iran,3
2024,Palestine,3
2023,terrorists,3
2023,Israelis,3
2023,vis,2
2024,days,2
2024,Criminal,2
2023,afraid,2
2023,Italy,2
2022,come,2
2023,communities,2
2023,villages,2
2022,citizen,2
2023,150,2
2023,completed,2
2024,about,2
2022,change,2
2022,condemnation,2
2023,seeing,2
2024,figures,2
2023,see,2
2024,000,2
2023,16,2
2024,House,2
2023,violation,2
2024,diplomat,2
2024,8,2
2023,assistance,2
2023,10,2
2023,clarity,2
2022,eternal,2
2023,simply,2
2024,condemnation,2
2023,citing,2
2023,civilian,2
2023,agency,2
2024,University,2
2022,do,2
2023,side,2
2023,clashes,2
2023,affairs,2
2023,sick,2
2023,AFP,2
2023,Studies,2
2022,responsible,2
2024,countries,2
2022,decades,2
2023,collapse,2
2024,crowds,2
2023,trying,2
2023,18,2
2023,weapon,2
2024,displaced,2
2022,standards,2
2024,enforce,2
2023,safety,2
2024,escalation,2
2023,anyone,2
2024,evacuate,2
2023,25,2
2023,women,2
2023,cooking,2
2023,year,2
2023,countries,2
2022,across,2
2023,26,2
2023,wrote,2
2024,eyes,2
2023,27,2
2023,role,2
2022,about,2
2023,violence,2
2023,achieve,2
2023,territory,2
2023,300,2
2023,control,2
2023,anything,2
2022,years,2
2023,sanctity,2
2023,annually,2
2023,around,2
2023,scarier,2
2023,consequences,2
2023,1967,2
2023,tensions,2
2023,access,2
2023,Justice,2
2023,says,2
2023,another,2
2023,save,2
2022,since,2
2024,Schei,2
2023,we,2
2023,according,2
2023,territories,2
2023,2014,2
2024,elections,2
2023,continued,2
2023,continues,2
2023,too,2
2023,choice,2
2023,terrorism,2
2022,year,2
2022,ministry,2
2024,Nations,2
2023,Cameron,2
2024,allies,2
2023,March,2
2023,between,2
2023,beyond,2
2023,attacked,2
2022,outraged,2
2023,Committee,2
2023,blessing,2
2022,now,2
2023,Party,2
2023,33,2
2023,step,2
2023,bombing,2
2023,things,2
2023,Palestinians,2
2022,nations,2
2023,well,2
2023,both,2
2024,article,2
2022,period,2
2024,aid,2
2023,alone,2
2023,supplies,2
2024,abuse,2
2023,back,2
2022,take,2
2023,survive,2
2023,beastly,2
2023,theirs,2
2022,process,2
2024,across,2
2023,support,2
2023,away,2
2024,ago,2
2022,territories,2
2023,Watch,2
2023,been,2
2023,Miller,2
2023,Authority,2
2023,Middle,2
2023,success,2
2022,this,2
2022,three,2
2023,started,2
2023,start,2
2023,ISIS,2
2024,assault,2
2023,soon,2
2024,captive,2
2023,somehow,2
2024,car,2
2023,ah,2
2023,catastrophe,2
2023,Court,2
2023,time,2
2023,UNRWA,2
2023,London,2
2023,DC,2
2023,snapshot,2
2024,child,2
2023,six,2
2024,24,2
2023,Africa,2
2023,Affairs,2
2023,will,2
2022,world,2
2023,aggression,2
2023,agenda,2
2024,campaign,2
2023,through,2
2023,captives,2
2022,killings,2
2022,make,2
2022,unjust,2
2023,breathe,2
2022,lives,2
2023,stand,2
2023,Arabia,2
2023,Palestinian,2
2023,stability,2
2022,law,2
2023,alive,2
2022,independent,2
2022,justice,2
2023,unprecedented,2
2024,London,2
2023,camp,2
2023,campaign,2
2023,Arab,2
2023,air,2
2023,capabilities,2
2023,capacity,2
2022,protection,2
2023,continue,2
2021,12,2
2023,earlier,2
2021,report,2
2023,estimates,2
2023,every,2
2023,need,2
2024,stops,2
2021,progress,2
2024,step,2
2024,states,2
2024,statement,2
2024,state,2
2024,starvation,2
2021,possible,2
2021,percent,2
2021,people,2
2021,peace,2
2024,nothing,2
2021,citizens,2
2023,face,2
2021,click,2
2023,families,2
2024,official,2
2024,ministry,2
2023,equipment,2
2023,protect,2
2021,state,2
2023,invasion,2
2021,threat,2
2021,this,2
2021,them,2
2024,last,2
2023,eating,2
2024,later,2
2023,moment,2
2024,them,2
2024,temporary,2
2021,betrayal,2
2021,solution,2
2023,mostly,2
2023,instead,2
2023,encouraging,2
2023,insecurity,2
2023,push,2
2024,support,2
2023,ensured,2
2023,nation,2
2023,nine,2
2021,conflict,2
2023,identities,2
2023,harvardpsc,2
2024,five,2
2023,own,2
2023,hell,2
2023,held,2
2023,heading,2
2024,resolution,2
2023,ones,2
2023,over,2
2023,hate,2
2023,others,2
2023,help,2
2024,protect,2
2023,governed,2
2023,order,2
2023,operations,2
2024,remaining,2
2024,released,2
2021,go,2
2023,hands,2
2023,hand,2
2024,right,2
2023,from,2
2021,occupation,2
2023,occupation,2
2023,northern,2
2021,crime,2
2024,sheltering,2
2021,motivated,2
2024,out,2
2021,members,2
2023,hospitals,2
2023,force,2
2024,peace,2
2023,occupied,2
2023,offensive,2
2023,home,2
2023,form,2
2021,do,2
2023,forward,2
2024,place,2
2021,done,2
2023,freedom,2
2021,it,2
2021,issue,2
2021,towards,2
2021,second,2
2023,halt,2
2023,leave,2
2023,make,2
2023,responsibility,2
2023,response,2
2021,Nablus,2
2023,resistance,2
2023,left,2
2021,wounded,2
2024,harm,2
2023,members,2
2022,Hague,2
2021,years,2
2024,intelligence,2
2023,matter,2
2021,Ramadan,2
2024,way,2
2023,released,2
2023,killings,2
2021,Jubeh,2
2024,us,2
2023,media,2
2022,250,2
2023,last,2
2023,later,2
2024,water,2
2024,war,2
2023,destroy,2
2021,week,2
2024,government,2
2024,itself,2
2024,year,2
2024,wounded,2
2023,reason,2
2024,jails,2
2021,2020,2
2021,Addameer,2
2022,Strip,2
2023,custody,2
2021,Salem,2
2023,longer,2
2023,damage,2
2024,justice,2
2024,years,2
2023,military,2
2021,1967,2
2023,toe,1
2023,maths,1
2023,massive,1
2023,today,1
2023,voting,1
2023,themselves,1
2023,obligations,1
2023,to,1
2023,me,1
2023,one,1
2023,object,1
2023,number,1
2023,masse,1
2023,together,1
2023,voted,1
2023,nothing,1
2023,note,1
2023,visitors,1
2023,visiting,1
2023,north,1
2023,viscerally,1
2023,notice,1
2023,love,1
2023,maintain,1
2023,officer,1
2023,want,1
2023,once,1
2023,on,1
2023,thousands,1
2023,offing,1
2023,they,1
2023,threat,1
2023,man,1
2023,throughout,1
2023,marching,1
2023,ties,1
2023,wallets,1
2023,waiting,1
2023,tired,1
2023,wait,1
2023,then,1
2023,tolerable,1
2023,mass,1
2023,ongoing,1
