year,3-gram,count
2023,s editorial stance,103
2024,s editorial stance,71
2021,s editorial stance,38
2023,Threads and YouTube,33
2024,Threads and YouTube,29
2024,in Gaza here,27
2022,s editorial stance,19
2023,Instagram and Facebook,17
2023,follow along here,13
2023,to Al Jazeera,11
2023,new page here,10
2023,is now closed,10
2023,about 1 200,10
2023,with artificial intelligence,9
2023,the same period,9
2023,to Israeli officials,9
2024,to Al Jazeera,8
2023,to Palestinian officials,8
2024,on Gaza here,8
2024,is now closed,8
2022,Instagram and Facebook,8
2023,latest updates here,8
2023,to Israeli authorities,7
2023,live coverage here,6
2022,Bank in 2022,6
2023,the Palestinian people,6
2023,of them civilians,6
2023,in a statement,6
2024,on October 7,5
2024,our updates here,5
2023,live page here,5
2023,on October 7,5
2023,under international law,5
2023,the 1967 War,5
2023,women and children,5
2023,Israel Gaza war,4
2024,in Washington DC,4
2021,the international community,4
2023,the Middle East,4
2024,since October 7,4
2022,on Twitter arwaib,4
2023,future independent state,4
2023,collaboration with Egab,4
2024,latest updates here,4
2024,at 1 139,4
2023,latest developments here,4
2023,the international community,4
2024,he told Al,4
2021,pro Israel bias,3
2023,s updates here,3
2023,of them children,3
2023,since October 7,3
2024,length and clarity,3
2023,the United Nations,3
2023,to Palestinian authorities,3
2022,told Al Jazeera,3
2022,resistance to it,3
2023,Gaza he said,3
2024,Ministry of Health,3
2021,to Al Jazeera,3
2023,in Palestinian attacks,3
2023,he told Al,3
2023,ocean of need,3
2024,the United States,3
2024,of the war,3
2023,under the rubble,3
2024,attacks in Israel,3
2023,trial or charge,3
2023,9 and 13,3
2024,and the region,3
2023,have been displaced,3
2023,3 million people,3
2022,an independent probe,3
2022,earlier this year,2
2022,their future state,2
2021,resolving the conflict,2
2023,University of London,2
2023,as beastly people,2
2023,first he said,2
2022,besieged Gaza Strip,2
2024,pass without punishment,2
2023,to breaking point,2
2023,for a ceasefire,2
2023,for a truce,2
2023,over the world,2
2023,at Chatham House,2
2023,to destroy Hamas,2
2022,with embassies in,2
2022,charge or trial,2
2023,for independent state,2
2024,January 4 2024,2
2023,Poverty is scarier,2
2023,trigger more insecurity,2
2024,still held in,2
2023,600 others injured,2
2024,January 25 2024,2
2024,March 12 2024,2
2024,soon he said,2
2023,of our lives,2
2023,to this report,2
2024,March 21 2024,2
2023,Solidarity Committee harvardpsc,2
2023,attacks this year,2
2022,the same period,2
2021,month of Ramadan,2
2024,March 31 2024,2
2024,March 8 2024,2
2024,January 26 2024,2
2024,deaths in Gaza,2
2022,children were killed,2
2023,for joining us,2
2024,expanding the war,2
2023,the current conflict,2
2024,Tonje Hessen Schei,2
2023,aid workers say,2
2023,the war started,2
2023,the war began,2
2023,almost a decade,2
2023,the Palestinian Authority,2
2024,and five civilians,2
2023,release of captives,2
2023,the statement said,2
2023,the statement added,2
2022,already impoverished territory,2
2023,the Palestinian enclave,2
2023,and East Jerusalem,2
2024,in three months,2
2023,and North Africa,2
2022,its eternal capital,2
2022,of international standards,2
2022,of international law,2
2024,in the region,2
2022,Israeli military protection,2
2022,occupied East Jerusalem,2
2024,in a statement,2
2023,the besieged enclave,2
2022,killed in Israel,2
2024,he told reporters,2
2021,were also killed,2
2023,raids in the,2
2022,he told Al,2
2023,dead mostly civilians,2
2023,solution he said,2
2024,official Israeli figures,2
2024,of the population,2
2022,in Palestinian attacks,2
2023,are running out,2
2022,the Old City,2
2023,ceasefire in Gaza,2
2023,a terrorist organisation,2
2023,a war crime,2
2023,about 1 150,2
2024,of international law,2
2023,during armed clashes,2
2024,buried under rubble,2
2023,posted on X,2
2023,across the occupied,2
2021,the second time,2
2021,their future state,2
2024,new page here,2
2023,unable to leave,2
2022,and East Jerusalem,2
2023,protect their identity,2
2024,an entire year,2
2023,ah in Nablus,2
2023,to ease tensions,2
2023,attacks on Israelis,2
2023,killed in Gaza,2
2023,November 27 2023,2
2023,Ministry of Health,2
2023,Editor Donald Cameron,2
2023,International Criminal Court,2
2023,held in Gaza,2
2024,with artificial intelligence,2
2024,February 7 2024,2
2021,Salem in Gaza,2
2023,in the future,2
2023,November 25 2023,2
2023,November 24 2023,2
2023,in Israeli history,2
2023,Hamas governed enclave,2
2023,length and clarity,2
2023,Palestine and Israel,2
2023,in the enclave,2
2023,October 24 2023,2
2021,and politically motivated,2
2024,International Criminal Court,2
2023,in the statement,2
2023,December 25 2023,2
2023,Middle East Institute,2
2024,April 4 2024,2
2023,in the region,2
2023,October 16 2023,2
2023,October 10 2023,2
2024,verge of famine,2
2023,October 23 2023,2
2021,Middle East conflict,2
2023,in the past,2
2023,nearing breaking point,2
2023,Human Rights Watch,2
2023,November 7 2023,2
2024,women and children,2
2023,in Israeli custody,2
2024,April 8 2024,2
2023,November 13 2023,2
2024,1 139 people,2
2024,the Palestinian territory,2
2021,a war crime,2
2023,in northern Gaza,2
2023,have been killed,2
2024,to international law,2
2024,the Israeli state,2
2024,January 14 2024,2
2024,to the CPJ,2
2023,Bank and Gaza,2
2023,the global economy,1
2023,their future is,1
2023,will provide 15m,1
2023,the military campaign,1
2023,the men cried,1
2023,their Telegram channel,1
2023,the first step,1
2023,what to know,1
2023,will take place,1
2023,where Saly is,1
2023,their decisions independently,1
2023,the living martyr,1
2023,the foreseeable future,1
2023,their immediate release,1
2023,their everyday lives,1
2023,the latest killings,1
2023,the fuel shortage,1
2023,the last fool,1
2023,the next life,1
2023,their historical rights,1
2023,what went wrong,1
2023,the individuals safety,1
2023,window for success,1
2023,the humanitarian crisis,1
2023,the group added,1
2023,the government terminated,1
2023,their free speech,1
2023,their families tomorrow,1
2023,the spokesperson added,1
2023,the weeks ahead,1
2023,the organisation said,1
2023,wife told Al,1
2023,will be genocide,1
2023,the report said,1
2023,the previous day,1
2023,will be seen,1
2023,the political crisis,1
2023,will ever reopen,1
2023,the statement reads,1
2023,wider regional conflict,1
2023,the police station,1
2023,the past year,1
2023,will know us,1
2023,the status quo,1
2023,the past month,1
2023,the unfolding genocide,1
2023,the normalisation push,1
2023,the one before,1
2023,the fighting began,1
2023,whom are children,1
2023,whitewash Bays added,1
2023,the upcoming days,1
2023,the officials said,1
2023,where worlds collide,1
2023,the occupier attacks,1
2023,will not be,1
2023,the occupied territories,1
2023,will not happen,1
2023,will not leave,1
2023,will only intensify,1
2023,the same time,1
2023,where they bomb,1
2023,unconscious in his,1
2023,the entrenched conflict,1
2023,with your crimes,1
2023,taken as captives,1
2023,taken to hospital,1
