word,term_frequency,document_frequency,tfidf_score
company,2,177,8.388613600292304
percent,3,732,8.336833945654757
studies,2,182,8.333208395193633
amnesty,2,182,8.333208395193633
battle,2,184,8.311469050719825
aerial,2,186,8.2899634671673
duterte,1,2,8.277478061770127
puncture,1,2,8.277478061770127
skirting,1,2,8.277478061770127
leased,1,2,8.277478061770127
fosse,1,2,8.277478061770127
rodrigo,1,2,8.277478061770127
robotic,1,2,8.277478061770127
freedman,1,2,8.277478061770127
impregnated,1,2,8.277478061770127
counterinsurgency,1,2,8.277478061770127
particles,1,2,8.277478061770127
lags,1,2,8.277478061770127
thickness,1,2,8.277478061770127
equipment,2,190,8.247633844783214
bullets,2,202,8.1257687427929
ahmed,2,209,8.057965639441537
hamas,5,2357,8.052606346704605
sleeve,1,3,7.989795989318346
legitimately,1,3,7.989795989318346
deniability,1,3,7.989795989318346
seller,1,3,7.989795989318346
recapture,1,3,7.989795989318346
time,4,1606,7.975863938802899
000,4,1620,7.941167314810245
estimated,2,222,7.937837157956237
uk,2,222,7.937837157956237
severe,2,229,7.876022083030083
10,3,872,7.812464383795906
nagorno,1,4,7.766652438004137
declassified,1,4,7.766652438004137
takers,1,4,7.766652438004137
marketed,1,4,7.766652438004137
debut,1,4,7.766652438004137
120mm,1,4,7.766652438004137
353,1,4,7.766652438004137
advertise,1,4,7.766652438004137
mystery,1,4,7.766652438004137
karabakh,1,4,7.766652438004137
loss,2,247,7.72532320854651
children,4,1717,7.708696991576146
year,4,1736,7.66470233678853
launched,3,935,7.603424621881935
variant,1,5,7.584330881210182
kusovac,1,5,7.584330881210182
subscribe,1,5,7.584330881210182
zoran,1,5,7.584330881210182
commando,1,5,7.584330881210182
serbian,1,5,7.584330881210182
armenians,1,5,7.584330881210182
rocket,2,274,7.518638505543332
backlog,1,6,7.430180201382924
qualities,1,6,7.430180201382924
thigh,1,6,7.430180201382924
october,4,1842,7.427761571073656
surprise,2,289,7.412418854915435
injuries,2,297,7.357993727865665
professor,2,304,7.311557147661651
nabeel,1,7,7.296648808758401
environments,1,7,7.296648808758401
schemes,1,7,7.296648808758401
buyers,1,7,7.296648808758401
totalling,1,7,7.296648808758401
attractive,1,7,7.296648808758401
buyer,1,7,7.296648808758401
warheads,1,7,7.296648808758401
diameter,1,7,7.296648808758401
targets,2,310,7.272594876518006
course,2,312,7.2597743197961675
occupation,3,1049,7.2586347218600045
good,2,321,7.203077609787657
licences,1,8,7.178865773102018
sells,1,8,7.178865773102018
transactions,1,8,7.178865773102018
limb,1,8,7.178865773102018
caused,2,328,7.1600651993457305
damage,2,335,7.117958380950066
adage,1,9,7.073505257444191
promotes,1,9,7.073505257444191
erik,1,9,7.073505257444191
modified,1,9,7.073505257444191
fragmentation,1,9,7.073505257444191
orthopaedic,1,9,7.073505257444191
116,1,9,7.073505257444191
salvador,1,9,7.073505257444191
colombian,1,10,6.9781950776398665
emeritus,1,10,6.9781950776398665
successes,1,10,6.9781950776398665
non,2,361,6.968892277224932
bombs,2,364,6.952385993711491
previous,2,368,6.93058741279542
unsurprising,1,11,6.891183700650237
gustavo,1,11,6.891183700650237
advertising,1,11,6.891183700650237
mezan,1,11,6.891183700650237
manufacturer,1,11,6.891183700650237
cause,2,380,6.866581950623073
stephen,1,12,6.811140992976701
lab,1,12,6.811140992976701
flesh,1,12,6.811140992976701
regev,1,12,6.811140992976701
petro,1,12,6.811140992976701
contractor,1,12,6.811140992976701
rwanda,1,13,6.737033020822978
shrouded,1,13,6.737033020822978
database,1,13,6.737033020822978
secrecy,1,13,6.737033020822978
iceland,1,13,6.737033020822978
lawrence,1,13,6.737033020822978
killing,3,1265,6.697418243202346
wages,1,14,6.668040149336027
exported,1,14,6.668040149336027
influenced,1,14,6.668040149336027
maker,1,15,6.6035016281984555
dispersal,1,15,6.6035016281984555
venture,1,15,6.6035016281984555
1975,1,15,6.6035016281984555
10th,1,15,6.6035016281984555
contractors,1,15,6.6035016281984555
09,1,15,6.6035016281984555
dirty,1,16,6.542877006382021
pays,1,17,6.485718592542073
bosnia,1,17,6.485718592542073
ratified,1,17,6.485718592542073
purchase,1,17,6.485718592542073
statement,3,1373,6.451826632967828
destination,1,18,6.431651371271797
mortars,1,18,6.431651371271797
ceased,1,18,6.431651371271797
lead,2,476,6.417147719099792
myanmar,1,19,6.380358076884246
layers,1,19,6.380358076884246
toronto,1,19,6.380358076884246
fights,1,19,6.380358076884246
acquired,1,19,6.380358076884246
loose,1,19,6.380358076884246
laboratory,1,19,6.380358076884246
shawa,1,19,6.380358076884246
nations,3,1426,6.338282198884202
amputated,1,20,6.331567912714815
revenue,1,20,6.331567912714815
consultant,1,20,6.331567912714815
passengers,1,20,6.331567912714815
report,2,507,6.29121780571951
mortar,1,21,6.285047897079921
distinguish,1,22,6.2405961345090875
exclusively,1,22,6.2405961345090875
contracts,1,22,6.2405961345090875
requirement,1,22,6.2405961345090875
industries,1,22,6.2405961345090875
decades,2,530,6.202656658392597
possible,2,530,6.202656658392597
integrated,1,23,6.198036520090292
chile,1,23,6.198036520090292
saeed,1,23,6.198036520090292
phosphorus,1,23,6.198036520090292
genocide,2,535,6.18391237873487
current,2,541,6.161648697997182
insurance,1,24,6.157214525570036
extensively,1,24,6.157214525570036
user,1,24,6.157214525570036
world,3,1519,6.148874209793744
1995,1,25,6.117993812416755
5bn,1,25,6.117993812416755
components,1,25,6.117993812416755
deploying,1,25,6.117993812416755
documentation,1,25,6.117993812416755
security,3,1539,6.109657965091688
return,2,557,6.103462776113853
order,2,562,6.085621444597094
instantly,1,26,6.080253484433908
powered,1,26,6.080253484433908
continuously,1,26,6.080253484433908
wreckage,1,26,6.080253484433908
realistic,1,26,6.080253484433908
open,2,572,6.050409267446995
thailand,1,27,6.043885840263033
1978,1,27,6.043885840263033
collateral,1,27,6.043885840263033
intact,1,28,6.008794520451763
humans,1,28,6.008794520451763
minister,3,1593,6.00626547326423
masked,1,29,5.974892968776082
exploded,1,29,5.974892968776082
rescued,1,29,5.974892968776082
surgeon,1,30,5.942103145953091
mexico,1,30,5.942103145953091
latin,1,30,5.942103145953091
machines,1,31,5.910354447638511
battlefield,1,31,5.910354447638511
regimes,1,31,5.910354447638511
embargo,1,31,5.910354447638511
described,2,620,5.889518537009517
underneath,1,32,5.8795827889717565
dehumanising,1,32,5.8795827889717565
protective,1,32,5.8795827889717565
unmanned,1,33,5.849729825822076
virtually,1,33,5.849729825822076
combination,1,33,5.849729825822076
spokesperson,2,638,5.832371792121405
artificial,1,34,5.820742288948823
buying,1,34,5.820742288948823
switzerland,1,34,5.820742288948823
attributed,1,34,5.820742288948823
regulations,1,34,5.820742288948823
20,2,644,5.813680067284929
prohibits,1,35,5.792571411982127
soft,1,35,5.792571411982127
estimate,1,35,5.792571411982127
performance,1,36,5.765172437794012
1bn,1,36,5.765172437794012
commented,1,36,5.765172437794012
supplying,1,36,5.765172437794012
oversight,1,37,5.7385041907118515
parallel,1,37,5.7385041907118515
solutions,1,37,5.7385041907118515
plausible,1,38,5.712528704308591
reputation,1,39,5.6872108963243
1980,1,39,5.6872108963243
450,1,40,5.662518283733929
bought,1,40,5.662518283733929
weren,1,40,5.662518283733929
sale,1,41,5.638420732154869
precisely,1,41,5.638420732154869
industrial,1,41,5.638420732154869
fly,1,42,5.614890234744675
geopolitical,1,43,5.591900716519976
reducing,1,43,5.591900716519976
burn,1,43,5.591900716519976
combatants,1,44,5.5694278606679175
injured,2,729,5.566091632591601
secured,1,45,5.547448953949142
land,2,736,5.5470049164978015
norms,1,47,5.504889339530346
governmental,1,47,5.504889339530346
weaponry,1,47,5.504889339530346
plastic,1,47,5.504889339530346
observed,1,48,5.48427005232761
precision,1,49,5.464067345010091
star,1,50,5.444264717713912
seen,2,781,5.428471219785852
halted,1,51,5.42484663185681
operates,1,51,5.42484663185681
doubled,1,53,5.387106303873963
ideology,1,53,5.387106303873963
qudra,1,53,5.387106303873963
wounded,2,804,5.370496146039347
1994,1,54,5.368757165205766
rifles,1,54,5.368757165205766
tech,1,55,5.350738659703088
actual,1,55,5.350738659703088
declaring,1,55,5.350738659703088
norwegian,1,56,5.333039082603687
edge,1,56,5.333039082603687
waged,1,57,5.315647339891818
metal,1,58,5.298552906532517
inflicted,1,58,5.298552906532517
maximum,1,59,5.281745788216137
leg,1,60,5.265216486264926
literally,1,60,5.265216486264926
documents,1,61,5.2489559653931455
amman,1,61,5.2489559653931455
fatalities,1,63,5.217207267078566
publication,1,64,5.2017030805426
thirds,1,64,5.2017030805426
approached,1,64,5.2017030805426
division,1,64,5.2017030805426
unarmed,1,65,5.186435608411812
subsequently,1,65,5.186435608411812
guided,1,66,5.171397731047271
blast,1,68,5.1419838458409775
degree,1,69,5.127595108388878
torn,1,70,5.113410473396922
track,1,70,5.113410473396922
obvious,1,71,5.099424231422182
guns,1,73,5.072025257234068
urban,1,74,5.058602236901927
netanyahu,2,940,5.058294421705715
responding,1,75,5.045357010151906
suggest,1,75,5.045357010151906
merely,1,75,5.045357010151906
ashraf,1,77,5.019381523748645
injury,1,77,5.019381523748645
countless,1,77,5.019381523748645
haifa,1,78,5.006642497971216
cycle,1,80,4.981641195765798
worldwide,1,81,4.969371103173984
shrapnel,1,81,4.969371103173984
class,1,81,4.969371103173984
denies,1,81,4.969371103173984
snipers,1,82,4.95724974264164
rounds,1,82,4.95724974264164
reported,2,990,4.954751632216498
2011,1,85,4.921743054184729
haaretz,1,85,4.921743054184729
gantz,1,85,4.921743054184729
introduced,1,86,4.910182231783653
benny,1,86,4.910182231783653
130,1,86,4.910182231783653
echoed,1,87,4.898753535960031
extensive,1,87,4.898753535960031
technology,1,88,4.8874539807060975
37,1,88,4.8874539807060975
test,1,89,4.876280680107972
college,1,89,4.876280680107972
monitoring,1,90,4.8652308439213865
driving,1,91,4.8543017733891975
unknown,1,92,4.843490857284982
overall,1,93,4.832795568168233
burned,1,95,4.811742158970401
far,2,1068,4.803222878826384
mid,1,96,4.801379371934854
ministry,2,1073,4.793890150738854
behaviour,1,97,4.791122871767666
secret,1,97,4.791122871767666
affect,1,98,4.780970500303647
doctor,1,99,4.770920164450146
expanded,1,101,4.7511175371539665
king,1,101,4.7511175371539665
impose,1,101,4.7511175371539665
nuclear,1,102,4.741361362208601
purpose,1,102,4.741361362208601
amounts,1,102,4.741361362208601
buy,1,102,4.741361362208601
thousands,2,1103,4.7387902472023935
australia,1,103,4.731699451296865
controversial,1,103,4.731699451296865
dr,1,106,4.703261515976331
human,2,1124,4.701104071599433
surge,1,107,4.693959123314017
uses,1,107,4.693959123314017
advanced,1,108,4.684742468209094
grenades,1,109,4.675609984645821
month,2,1147,4.660627547117451
rubber,1,112,4.648702531725896
engage,1,112,4.648702531725896
counter,1,112,4.648702531725896
34,1,113,4.6398919020437415
website,1,113,4.6398919020437415
designed,1,113,4.6398919020437415
african,1,114,4.631158222074987
75,1,114,4.631158222074987
removed,1,115,4.622500159331873
extent,1,115,4.622500159331873
unlike,1,115,4.622500159331873
blame,1,117,4.605405725972572
gallant,1,117,4.605405725972572
end,2,1180,4.60394706848175
deployed,1,119,4.588598607656191
practice,1,120,4.580299804841497
allegedly,1,120,4.580299804841497
yoav,1,122,4.56390599506582
conflict,2,1204,4.563711009026964
preventing,1,123,4.5558087848332
primary,1,125,4.539808443486759
right,2,1226,4.527525811454652
wave,1,127,4.52406008651862
decade,1,127,4.52406008651862
highly,1,129,4.508555899982655
significantly,1,131,4.493288427851866
eye,1,133,4.478250550487326
president,2,1260,4.472860028946635
crowd,1,136,4.456109424610112
newspaper,1,137,4.448836665281032
canada,1,138,4.441616417307545
just,2,1286,4.43204228568422
deliberately,1,140,4.427330460060069
teams,1,141,4.420263292836976
forcibly,1,143,4.406277050862236
metres,1,145,4.392483728729901
platform,1,149,4.365455056341981
conflicts,1,149,4.365455056341981
800,1,152,4.345652429045802
fourth,1,153,4.3391377480246085
friend,1,153,4.3391377480246085
vehicle,1,155,4.3262343431887
field,1,155,4.3262343431887
nature,1,155,4.3262343431887
companies,1,156,4.3198445450899285
private,1,157,4.31349531741127
defense,1,157,4.31349531741127
compared,1,158,4.307186148218006
greater,1,161,4.288494015205853
approximately,1,162,4.282340149631475
mark,1,164,4.270144876537657
london,1,165,4.264102562081694
supply,1,166,4.258096538021482
black,1,167,4.252126371034978
witnessed,1,167,4.252126371034978
2019,1,168,4.246191635515164
usually,1,169,4.240291913387976
demanded,1,177,4.194306800146152
unit,1,177,4.194306800146152
analysts,1,181,4.172083663361442
palestine,2,1468,4.16750634852872
people,3,2960,4.1484240670099375
europe,1,186,4.14498173358365
stands,1,187,4.139648387608288
maintain,1,190,4.123816922391607
september,1,191,4.118594978410456
ask,1,195,4.09797569120772
cabinet,1,196,4.092886621700249
circumstances,1,197,4.087823319743702
orders,1,198,4.082785525713745
possibility,1,199,4.077772983890201
france,1,200,4.072785442379161
2007,1,200,4.072785442379161
page,1,207,4.038552270736919
intense,1,208,4.033756098473426
footage,1,210,4.0242322169621705
huge,1,212,4.014798184728813
associated,1,214,4.005452322310575
700,1,214,4.005452322310575
condemn,1,217,3.9915952876491483
mean,1,218,3.987018620621736
center,1,218,3.987018620621736
big,1,218,3.987018620621736
analyst,1,221,3.973412968565958
state,2,1621,3.9693502315257576
ethnic,1,222,3.9689185789781183
approach,1,223,3.9644442985831976
interview,1,224,3.959989948233817
makes,1,224,3.959989948233817
worked,1,226,3.9511403329568346
shifa,1,226,3.9511403329568346
deep,1,226,3.9511403329568346
best,1,228,3.9423683468839976
28,1,229,3.9380110415150416
innocent,1,230,3.9336726399164434
various,1,233,3.920769235080536
reportedly,1,235,3.912258545412627
terrorism,1,235,3.912258545412627
appeared,1,237,3.9038196767667626
great,1,238,3.8996267985067266
firing,1,238,3.8996267985067266
suffered,1,239,3.895451427096246
violation,1,245,3.8707588145058747
figures,1,246,3.8667020138102597
restrictions,1,247,3.862661604273255
cases,1,247,3.862661604273255
joint,1,250,3.850637411306453
terror,1,251,3.8466612629268138
sought,1,251,3.8466612629268138
patients,1,251,3.8466612629268138
single,1,252,3.842700861710717
kind,1,254,3.834826805279811
comment,1,258,3.8192622887386993
rules,1,259,3.8154087194227095
humanity,1,261,3.80774584667714
refused,1,262,3.803936318260473
entered,1,262,3.803936318260473
respond,1,263,3.8001412472919207
noted,1,265,3.792594041656538
doesn,1,267,3.78510336992738
governments,1,269,3.7776683914398625
comments,1,273,3.762962244050167
series,1,273,3.762962244050167
tens,1,277,3.7484692367476002
getting,1,281,3.7341832795001237
built,1,285,3.7200985396183848
experts,1,293,3.6925105830995557
development,1,293,3.6925105830995557
hard,1,295,3.6857308961141766
directly,1,297,3.6789968639328325
22,1,297,3.6789968639328325
antony,1,297,3.6789968639328325
missile,1,299,3.672307875782036
included,1,302,3.662357544928868
multiple,1,304,3.6557785738308257
author,1,309,3.6395180529590454
40,1,313,3.6266973645299836
service,1,316,3.6171885765609564
agreed,1,320,3.6046492273082213
union,1,321,3.6015388048938286
followed,1,323,3.5953468346459077
attacks,2,1965,3.5846680994622506
real,1,327,3.5830767420540934
claim,1,333,3.5649493574615367
intelligence,1,337,3.5530444549552183
services,1,338,3.5500902430577868
bodies,1,340,3.54420787315472
reached,1,346,3.526765570491378
kill,1,351,3.51245917484014
target,1,352,3.50962229350494
brought,1,359,3.4899863189880813
currently,1,360,3.487212392105356
1948,1,362,3.4816875161733862
process,1,363,3.4789364828014966
apartheid,1,365,3.473457017036871
relations,1,374,3.4491643244678265
independent,1,389,3.409943611314545
european,1,390,3.4073827904528713
jordan,1,398,3.387128933548374
terrorist,1,402,3.377153788491554
doing,1,403,3.374675472477087
change,1,405,3.3697371908365046
400,1,422,3.328718171391959
instead,1,426,3.3193063372096128
citizens,1,433,3.3030458163378325
14,1,436,3.296157155342647
risk,1,440,3.287045474991391
died,1,447,3.271297118023252
2021,1,449,3.2668427676738716
24,1,449,3.2668427676738716
journalist,1,463,3.236205798211982
bring,1,467,3.2276220545205905
press,1,467,3.2276220545205905
remains,1,473,3.2148830287431607
history,1,481,3.198146236387637
2022,1,482,3.1960736967856644
global,1,486,3.1878262273556475
13,1,491,3.1776116339459293
allowed,1,502,3.155500180338498
point,1,507,3.145608902859755
university,1,509,3.1416796247198655
main,1,532,3.0975689262723924
rafah,1,533,3.095694511478042
control,1,534,3.093823603542231
organisation,1,536,3.090092255929372
major,1,537,3.0882317902764527
operations,1,537,3.0882317902764527
working,1,538,3.08637477952924
illegal,1,551,3.0625423041611417
allow,1,559,3.0481535667090425
remain,1,563,3.0410360989401783
away,1,579,3.013062246897772
released,1,580,3.011339593586326
30,1,584,3.0044785032063808
crimes,1,590,2.994274333032139
12,1,597,2.9824995964876058
trying,1,610,2.960993391266642
medical,1,611,2.959358067925911
pressure,1,621,2.943150257699058
american,1,623,2.9399399820688092
large,1,634,2.9224653515455454
2023,1,647,2.9021996540859627
200,1,649,2.8991179875485544
announced,1,650,2.897580708229668
second,1,658,2.88536681593573
dead,1,677,2.856943062497842
targeted,1,681,2.851060692594775
policy,1,691,2.836504394820568
campaign,1,697,2.8278712476758647
nearly,1,704,2.8178925476259686
shot,1,714,2.8038078077442297
know,1,714,2.8038078077442297
led,1,739,2.769440164240022
displaced,1,744,2.7627061320586774
public,1,763,2.7375225612717164
want,1,764,2.7362145166117013
continued,1,771,2.7271058004134607
11,1,773,2.72451847684851
fighters,1,779,2.7167964307545995
hours,1,788,2.705324029592363
hospital,1,793,2.6990068891911014
response,1,824,2.6607069641035563
does,1,841,2.6403103361959106
south,1,863,2.6145175816341815
despite,1,884,2.590502705430308
palestinian,2,3236,2.5873761930239856
area,1,887,2.587118607446067
benjamin,1,894,2.5792666321633817
following,1,906,2.5659479003231005
came,1,968,2.4998257385474707
bombardment,1,981,2.4864990420837714
near,1,989,2.4783854073096014
enclave,1,998,2.4693355717896837
besieged,1,1006,2.461359457719675
past,1,1009,2.458384740602932
continue,1,1011,2.456406500590826
health,1,1070,2.3997422799904884
did,1,1135,2.3408217511571405
long,1,1140,2.3364300005761613
say,1,1143,2.333804178498494
like,1,1194,2.290188886072626
prime,1,1210,2.276888606885145
week,1,1289,2.2136928530825193
rights,1,1342,2.1734291539149995
days,1,1354,2.1645336171244356
years,1,1366,2.1557165137142875
called,1,1526,2.0450300452196046
states,1,1581,2.009645202110638
bank,1,1595,2.000834572428483
west,1,1763,1.9007511138715005
occupied,1,1815,1.8716987912769987
strip,1,1950,1.7999930098151258
including,1,2245,1.6591842151398488
united,1,2307,1.631953722810247
jazeera,1,2327,1.6233255415869088
predicting,0,5,0.0
premature,0,46,0.0
premised,0,5,0.0
pollux,0,1,0.0
premise,0,8,0.0
polyansky,0,1,0.0
premiership,0,16,0.0
pollution,0,7,0.0
prepping,0,1,0.0
premiers,0,1,0.0
premiere,0,1,0.0
premier,0,40,0.0
premeditated,0,8,0.0
prematurely,0,4,0.0
prelude,0,4,0.0
polyanskiy,0,4,0.0
predecessor,0,34,0.0
predecessors,0,7,0.0
preliminary,0,48,0.0
predeployed,0,1,0.0
prejudicial,0,2,0.0
ponte,0,1,0.0
pong,0,2,0.0
prejudices,0,2,0.0
predicament,0,7,0.0
prejudiced,0,2,0.0
prerecorded,0,1,0.0
predicaments,0,1,0.0
premises,0,38,0.0
predawn,0,9,0.0
preinterview,0,1,0.0
preparation,0,39,0.0
prepares,0,44,0.0
prescribed,0,5,0.0
preparedness,0,4,0.0
prepared,0,133,0.0
precursor,0,10,0.0
prepare,0,81,0.0
preparatory,0,5,0.0
predate,0,4,0.0
preparing,0,135,0.0
preplanned,0,2,0.0
preparators,0,1,0.0
preparations,0,28,0.0
prepositioned,0,1,0.0
premium,0,4,0.0
prepaid,0,1,0.0
preoccupied,0,9,0.0
predated,0,2,0.0
predates,0,4,0.0
preoccupation,0,2,0.0
prendre,0,1,0.0
pontiac,0,1,0.0
prescribe,0,1,0.0
predating,0,1,0.0
prenatal,0,2,0.0
premiums,0,3,0.0
preposterous,0,5,0.0
prejudice,0,8,0.0
prescreening,0,1,0.0
presaged,0,1,0.0
predictable,0,28,0.0
preemptively,0,3,0.0
ponder,0,3,0.0
preemptive,0,28,0.0
preemption,0,1,0.0
polluted,0,12,0.0
preempt,0,1,0.0
prerogative,0,1,0.0
predominately,0,1,0.0
prerogatives,0,1,0.0
predominantly,0,32,0.0
predominant,0,4,0.0
predominance,0,1,0.0
preschoolers,0,1,0.0
predict,0,17,0.0
pres,0,1,0.0
predisposed,0,1,0.0
pollute,0,1,0.0
predispose,0,1,0.0
predilection,0,1,0.0
predictably,0,23,0.0
presage,0,1,0.0
pondering,0,1,0.0
predicts,0,5,0.0
predictions,0,4,0.0
prediction,0,2,0.0
predicted,0,32,0.0
preening,0,8,0.0
pompey,0,1,0.0
prerequisite,0,4,0.0
pompeo,0,5,0.0
prescient,0,2,0.0
ponders,0,1,0.0
pregnant,0,59,0.0
pregnancy,0,8,0.0
pregnancies,0,2,0.0
prefigures,0,1,0.0
preconditions,0,2,0.0
pomed,0,2,0.0
prefers,0,15,0.0
polluting,0,2,0.0
preferring,0,8,0.0
pomelo,0,2,0.0
preferred,0,23,0.0
prefabricated,0,4,0.0
preferential,0,1,0.0
preferences,0,5,0.0
polluters,0,1,0.0
preference,0,3,0.0
preferably,0,3,0.0
predicate,0,1,0.0
preferable,0,1,0.0
predicated,0,6,0.0
prefects,0,1,0.0
prerequisites,0,2,0.0
predicates,0,1,0.0
preface,0,1,0.0
prefer,0,44,0.0
pramila,0,9,0.0
preconditioned,0,1,0.0
pounding,0,40,0.0
postpones,0,2,0.0
postponements,0,5,0.0
postponement,0,1,0.0
popularity,0,43,0.0
postponed,0,44,0.0
postpone,0,15,0.0
postpartum,0,1,0.0
popularly,0,6,0.0
populate,0,3,0.0
postoperative,0,1,0.0
populated,0,205,0.0
postol,0,1,0.0
population,0,690,0.0
populations,0,54,0.0
postnatal,0,1,0.0
populi,0,1,0.0
posting,0,37,0.0
posthumously,0,4,0.0
posthumous,0,1,0.0
postgraduate,0,2,0.0
populism,0,2,0.0
posters,0,25,0.0
posterity,0,1,0.0
poster,0,9,0.0
populist,0,4,0.0
posted,0,210,0.0
populists,0,1,0.0
postdoctoral,0,5,0.0
postcolonialism,0,1,0.0
postponing,0,7,0.0
posts,0,122,0.0
postulate,0,1,0.0
potentialities,0,1,0.0
pound,0,44,0.0
pounced,0,2,0.0
poultry,0,2,0.0
pouch,0,2,0.0
potus,0,23,0.0
pottery,0,2,0.0
potter,0,1,0.0
populace,0,2,0.0
potted,0,1,0.0
popular,0,200,0.0
pots,0,9,0.0
potentially,0,110,0.0
popularise,0,1,0.0
potential,0,299,0.0
posture,0,20,0.0
potent,0,11,0.0
potency,0,1,0.0
popularised,0,1,0.0
potatoes,0,4,0.0
potato,0,5,0.0
potassium,0,1,0.0
potash,0,1,0.0
potable,0,8,0.0
pot,0,8,0.0
postwar,0,1,0.0
posturing,0,5,0.0
postures,0,2,0.0
postured,0,1,0.0
postcolonial,0,6,0.0
postal,0,2,0.0
populous,0,25,0.0
portly,0,1,0.0
portuguese,0,7,0.0
portugal,0,20,0.0
ports,0,35,0.0
portrays,0,8,0.0
portraying,0,11,0.0
portrayed,0,23,0.0
portrayals,0,1,0.0
portrayal,0,7,0.0
pornography,0,1,0.0
portray,0,32,0.0
portraits,0,6,0.0
portrait,0,8,0.0
porto,0,1,0.0
portland,0,2,0.0
pose,0,62,0.0
pornsawan,0,1,0.0
porous,0,1,0.0
portions,0,3,0.0
portion,0,31,0.0
portfolios,0,1,0.0
portfolio,0,6,0.0
porter,0,4,0.0
portend,0,1,0.0
portals,0,1,0.0
portable,0,4,0.0
port,0,97,0.0
porphyrius,0,11,0.0
porridge,0,1,0.0
portwatch,0,1,0.0
posed,0,57,0.0
post,0,504,0.0
positively,0,6,0.0
possibly,0,66,0.0
